City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,42,1.59,light rain
244,Billings,US,45.7833,-108.5007,49.77,31,75,21.85,broken clouds
245,Laguna,US,38.421,-121.4238,59.25,75,1,4.61,haze
246,Krasnogorsk,RU,55.8225,37.3181,36.05,80,90,17.9,overcast clouds
247,Kota Kinabalu,MY,5.9749,116.0724,85.98,74,20,3.44,few clouds
248,Kentau,KZ,43.5206,68.5094,29.25,81,13,3.06,few clouds
249,Novorudnyy,RU,51.5026,58.1873,23.49,92,11,13.91,few clouds
250,Lydenburg,ZA,-25.0978,30.4597,56.39,88,100,1.92,overcast clouds
251,Kupang,ID,-10.1667,123.5833,84.78,84,75,4.61,broken clouds
252,Victoria,HK,22.2855,114.1577,72.25,60,0,1.01,clear sky
253,Sisimiut,GL,66.9395,-53.6735,23.77,72,100,11.95,overcast clouds
254,Capela Do Alto,BR,-23.4706,-47.7347,74.84,62,100,6.35,overcast clouds
255,Grand Gaube,MU,-20.0064,57.6608,73.8,81,3,3.0,clear sky
256,Ornskoldsvik,SE,63.2909,18.7153,14.95,92,90,11.5,light snow
257,Hanzhong,CN,33.0728,107.0303,50.95,65,100,1.39,overcast clouds
258,Lebu,CL,-37.6167,-73.65,53.8,91,35,12.33,scattered clouds
259,Mandera,KE,3.9366,41.867,78.35,78,57,10.96,broken clouds
260,Oranjemund,NA,-28.55,16.4333,60.64,89,0,10.63,clear sky
261,Puerto Escondido,MX,15.85,-97.0667,79.21,78,5,3.29,clear sky
262,Ambon,ID,-3.6954,128.1814,89.74,70,40,5.75,scattered clouds
263,Constitucion,CL,-35.3333,-72.4167,56.98,77,0,12.73,clear sky
264,Pinsk,BY,52.1229,26.0951,33.35,84,22,10.92,few clouds
265,Jaque,PA,7.5175,-78.1703,77.22,87,100,1.36,light rain
266,Geraldton,AU,-28.7667,114.6,95.41,10,0,20.71,clear sky
267,Ponta Do Sol,PT,32.6667,-17.1,63.72,69,100,7.56,overcast clouds
268,Manta,EC,-0.95,-80.7333,74.98,73,75,9.22,broken clouds
269,Zeya,RU,53.75,127.2667,19.8,63,100,1.59,overcast clouds
270,Hervey Bay,AU,-25.2986,152.8535,79.03,91,100,4.0,overcast clouds
271,Tadine,NC,-21.55,167.8833,80.33,73,16,12.12,few clouds
272,Tezu,IN,27.9167,96.1667,67.24,50,94,1.01,overcast clouds
273,Hasaki,JP,35.7333,140.8333,61.29,57,4,7.61,clear sky
274,Robertsport,LR,6.7533,-11.3686,80.49,80,20,5.14,light rain
275,Kuala Terengganu,MY,5.3302,103.1408,75.15,100,40,4.61,very heavy rain
276,Mayo,US,38.8876,-76.5119,51.78,81,75,1.01,broken clouds
277,Koroni,GR,36.8,21.95,56.07,80,100,16.11,overcast clouds
278,Pedernales,DO,18.0384,-71.744,78.24,76,12,2.53,few clouds
279,Waingapu,ID,-9.6567,120.2641,86.02,66,88,3.4,overcast clouds
280,Bukama,CD,-9.2,25.85,69.01,92,100,0.36,overcast clouds
281,Doha,QA,25.2867,51.5333,73.38,66,0,4.61,clear sky
282,Biloela,AU,-24.4167,150.5,79.99,71,100,11.88,overcast clouds
283,Izazi,TZ,-7.2,35.7333,77.83,64,46,2.13,scattered clouds
284,Caravelas,BR,-17.7125,-39.2481,70.97,81,6,5.46,clear sky
285,Muros,ES,42.7762,-9.0603,51.24,84,75,16.44,broken clouds
286,Flin Flon,CA,54.7682,-101.865,18.34,88,100,9.62,overcast clouds
287,Sept-Iles,CA,50.2001,-66.3821,36.12,93,90,1.01,overcast clouds
288,Mubi,NG,10.2676,13.2644,69.33,18,15,2.37,few clouds
289,San Policarpo,PH,12.1791,125.5072,83.16,82,100,9.06,overcast clouds
290,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.62,97,100,0.18,overcast clouds
291,Aquiraz,BR,-3.9014,-38.3911,84.22,69,98,10.8,overcast clouds
292,Tuy Hoa,VN,13.0833,109.3,73.94,87,100,12.53,overcast clouds
293,Galveston,US,29.3669,-94.9669,59.11,79,100,7.0,overcast clouds
294,Mehamn,NO,71.0357,27.8492,18.48,76,100,9.1,overcast clouds
295,Hokitika,NZ,-42.7167,170.9667,60.57,65,98,7.36,overcast clouds
296,Salalah,OM,17.0151,54.0924,75.29,46,0,4.61,clear sky
297,Port Blair,IN,11.6667,92.75,80.82,78,77,3.44,broken clouds
298,Mar Del Plata,AR,-38.0023,-57.5575,63.09,92,0,3.0,clear sky
299,Ahuimanu,US,21.4447,-157.8378,87.51,64,90,9.22,overcast clouds
300,Jambi,ID,-1.6,103.6167,76.87,94,100,2.33,overcast clouds
301,Timizart,DZ,36.8,4.2667,47.59,83,8,6.78,clear sky
302,Alice Springs,AU,-23.7,133.8833,71.15,56,90,10.36,overcast clouds
303,Tall Kayf,TR,37.0833,41.0667,54.32,67,100,6.71,overcast clouds
304,Karatau,KZ,43.1667,70.4667,28.67,85,98,4.14,overcast clouds
305,Ellisras,ZA,-23.6649,27.7443,61.41,71,0,17.49,clear sky
306,Paamiut,GL,61.994,-49.6678,34.16,99,100,2.77,light rain
307,Mizoch,UA,50.4,26.15,34.25,71,100,8.9,overcast clouds
308,Ushtobe,KZ,45.2514,77.9838,33.69,73,100,13.47,light snow
309,Sur,OM,22.5667,59.5289,74.25,71,5,3.69,clear sky
310,Mahebourg,MU,-20.4081,57.7,73.69,88,40,3.44,scattered clouds
311,Bonfim,BR,3.0833,-59.95,79.74,73,30,4.88,scattered clouds
312,Qaqortoq,GL,60.7167,-46.0333,36.1,99,100,7.36,moderate rain
313,Maniitsoq,GL,65.4167,-52.9,25.79,68,100,9.19,overcast clouds
314,Daru,PG,-9.0763,143.2092,85.06,68,100,4.47,overcast clouds
315,Norwalk,US,33.9022,-118.0817,73.83,10,1,1.99,clear sky
316,Nokha,IN,27.6,73.4167,65.75,22,0,4.74,clear sky
317,Ayodhya,IN,26.8,82.2,60.98,53,0,1.86,clear sky
